correct,incorrect
aardvark,aadvark
aardvark,aadvarks
aardvark,aardvaark
aardvark,aarkvard
aardvark,advart
aardvark,ardvaark
aardvark,ardvark
afghanhound,afghans
airdaleterrier,airedaleterrier
airedaleterrier,airdale
airedaleterrier,airdales
airedaleterrier,airedale
albatross,albatros
albatross,albatrosse
alligator,alagartor
alligator,alagator
alligator,alagators
alligator,alegator
alligator,alegators
alligator,aligater
alligator,aligator
alligator,aligators
alligator,aligattor
alligator,allegator
alligator,allgator
alligator,alliagot
alligator,alliagtor
alligator,alliagtors
alligator,alligaotr
alligator,alligaror
alligator,alligatar
alligator,alligater
alligator,alligato
alligator,alligators
alligator,alliigator
alligator,gator
alligator,gators
alligator,zlligator
alligator,alligaor
alligator,alligaor
alligator,alligatorgar
alpaca,alpacas
alpaca,alpacca
alpaca,alpacha
alpaca,alpacka
alpaca,alpackas
alpaca,alpakas
alpaca,aplaca
alpaca,elpaca
alpaca,elpaka
alpaca,alpace
anaconda,anacanda
anaconda,anacondas
anaconda,anoconda
anchovy,anchovie
anemone,anenomie
anemone,seaanemene
anemone,seaanemones
anemone,seaanenome
anemone,seanemone
angelfish,angelfishes
angelfish,anglefish
anglerfish,angler
anglerfish,anglerfishes
anglerfish,anglerfishs
anglerfish,antler
ant,an
ant,and
ant,andts
ant,ants
ant,antt
ant,any
ant,aunt
anteater,anteat
anteater,anteaters
anteater,anteather
anteater,anteatter
anteater,anterater
anteater,anteter
anteater,antwater
anteater,anyeater
antelope,analope
antelope,anetelope
antelope,antalope
antelope,antalopes
antelope,antaloupe
antelope,antellope
antelope,antellopes
antelope,antelop
antelope,antelopes
antelope,anteloph
antelope,antelopre
antelope,antilope
antelope,antlope
antelope,atelope
antelope,cantalope
antelope,cantaloupe
antelope,anteatere
antelope,anteloupe
antelope,canteloupe
apatosaurus,apathosaurusajax
ape,age
ape,ap
ape,apes
ape,apr
aplysia,seaslugaplysia
arcticfox,snowfox
armadillo,admaridllo
armadillo,ardmillo
armadillo,armadilllo
armadillo,armadillos
armadillo,armadilo
armadillo,armadilos
armadillo,armdilla
armadillo,armiadillo
armadillo,armidillo
armadillo,rmadillo
ascidians,seasquirt
auk,awk
baboon,babboon
baboon,baboo
baboon,baboob
baboon,baboom
baboon,baboons
baboon,bamboon
baboon,banboon
badger,badge
badger,badgers
badger,bager
badger,bandger
badger,bedger
bananaslug,bananaslugs
bananaslug,bananslug
barracuda,baracuda
barracuda,barricuda
bass,bash
bass,rockbass
bassethound,basethounds
bassethound,bassethounds
bat,bats
beagle,beale
bear,bears
bear,beer
bear,ber
bear,berar
bear,near
bear,vear
bear,"bear,"
bear,beqar
bear,grizzelybear
beardeddragon,beadeddragon
beardeddragon,beardeddragons
beardeddragon,sbeardeddragon
beaver,beavers
beaver,beavrr
beaver,bever
bee,bees
bee,ber
bee,bumblebee
beetle,beatle
beetle,beatles
beetle,beete
beetle,beetles
beetle,bettle
beluga,baloogawhale
beluga,baluga
beluga,balugawhale
beluga,beluga whale
beluga,belugawhale
beluga,boluga
beluga,bolugawhale
beluga,whitewhate
bengaltiger,bangel
bengaltiger,begaltiger
bengaltiger,bengal
bengaltiger,bengalitiger
bengaltiger,bengel
bernesemountaindog,burmesemountaindog
bettafish,beta
bettafish,betafish
bettafish,betafishes
bettafish,betafishs
bettafish,betta
bettafish,bettafishes
bettafish,betttafish
bighorn,bighornsheep
bilbie,bilbies
bilbies,bilby
binturong,bearcat
binturong,binterrung
binturong,binterung
bird,bid
bird,birb
bird,birdf
bird,birds
bird,pajaro
bird,redbird
bird,birf
bison,[bison
bison,bizon
bison,americanbison
bison,biscon
bison,biscon
bison,biso
black-cappedchickadee,black-cappedchickodee
black-cappedchickadee,blackcappedchickodee
blackbear,blackbeare
blackbear,blackbears
blackbear,blackbeat
blackbear,blackbar
blackwidow,blackwidowspider
blobfish,blobfishes
blobfish,blubberfish
bluebird,bluebirds
bluegill,bluegil
blueheron,blueherons
blueheron,greatblueheron
bluejay,bluebay
bluejay,bluejar
bluejay,bluejar
bluejay,bluejays
blueshark,bluesharks
boaconstrictor,boa
boaconstrictor,boaconstricter
boar,board
boar,bore
boar,goar
boar,wildboar
boar,wildboard
boar,wildbog
boar,wildbore
boar,boare
bobcat,babcat
bobcat,bobacat
bobcat,bobat
bobcat,bobcats
bobcat,boobcat
bobcat,"bobcat,"
bobcat,pigcat
bobcat,turkeybobcat
bonobo,banobo
bonobo,bonnobo
bonobo,bonobos
bonobo,boonobo
booby,book
boxer,boxers
boxturtle,easternboxturtle
brownbear,brownbair
brownreclusespider,brownrecluse
brownreclusespider,reclusespider
buffalo,baffalo
buffalo,baffulo
buffalo,buaffalo
buffalo,bufallo
buffalo,bufalo
buffalo,buffallo
buffalo,buffalos
buffalo,buffilo
buffalo,bufflalo
buffalo,buffao
bug,abug
bug,big
bug,bugs
bull,bul
bull,bulll
bulldog,bulldogs
bullmastiff,brownmastief
bulls,bullo
bullsnake,bullsnakes
bumblebee,bubblebee
bumblebee,bumblebees
bunny,bunnies
bunny,bunnnies
bunny,bunnt
bunny,bunnyrabbit
bunting,whiting
butterfly,abutterfly
butterfly,bufferfly
butterfly,butterfl
butterfly,butterflies
butterfly,butterflys
butterfly,butterfuly
butterfly,butterly
caiman,caimen
caiman,cayman
caiman,kamen
calf,calfe
calf,calves
calf,walf
camel,camal
camel,cambel
camel,came
camel,camellllllll
camel,camels
camel,cameo
camel,camle
camel,cammel
camel,cmel
canary,canaries
canary,cancary
capuchin,capuchinmonkey
capuchin,capuchins
capuchin,caputchin
capybara,cabibara
capybara,capabara
capybara,capabayra
capybara,capabera
capybara,capaberra
capybara,capibara
capybara,capibarra
capybara,cappebara
capybara,cappubarra
capybara,capybaras
capybara,capybarra
capybara,capybera
caracal,carical
cardinal,caracal
cardinal,cardianl
cardinal,cardinals
caribou,carabao
caribou,caraboo
caribou,carabou
caribou,carabous
caribou,cariboo
caribou,cariboos
caribou,caribu
caribou,caribus
caribou,carrabou
carp,carb
carp,crap
carpenterant,carpenterants
cat,ca
cat,caat
cat,car
cat,cate
cat,catg
cat,cats
cat,ct
cat,domesticatedcat
cat,housecat
cat,householdcat
cat,kat
cat,kitty
cat,pussycat
cat,tuxedocat
cat,cath
cat,caty
cat,mainecoone
caterpillar,catapillar
caterpillar,catapiller
caterpillar,catarpillar
caterpillar,catarpillars
caterpillar,catepillar
caterpillar,caterpilar
caterpillar,caterpillars
caterpillar,caterpiller
caterpillar,catipillars
caterpillar,cattapillar
caterpillar,catterpilar
caterpillar,catterpillar
caterpillar,cattipillar
caterpillar,catepiller
cavalierkingcharlesspaniel,kingcharlescavalierspaniels
centipede,centapeed
centipede,centapeeds
centipede,centepede
centipede,centepedes
centipede,centpede
chameleon,chamelion
chameleon,chameloen
chameleon,chamelon
chameleon,chamileon
cheetah,cheata
cheetah,cheerta
cheetah,cheeta
cheetah,cheetach
cheetah,cheetag
cheetah,cheetagh
cheetah,cheetahs
cheetah,cheetha
cheetah,cheethah
cheetah,cheethas
cheetah,chetah
cheetah,chetta
cheetah,chettah
cheetah,chettah
chick,chi
chick,chicks
chick,cjimp
chickadee,chickadees
chickadee,chickedee
chicken,chicen
chicken,chicke
chicken,chickebn
chicken,chickens
chicken,chikcen
chicken,chikcens
chicken,chiken
chicken,cjivken
chicken,cricken
chicken,hiken
chicken,"chicken,"
chihuahua,chichuaua
chihuahua,chichuauas
chihuahua,chihuaha
chihuahua,chihuahuah
chihuahua,chihuahuas
chihuahua,chiuaua
chihuahua,chiuauas
chihuahua,chiuchua
chihuahua,chiuchuas
chimpanzee,chimanzee
chimpanzee,chimapanzee
chimpanzee,chimp
chimpanzee,chimpa
chimpanzee,chimpakness
chimpanzee,chimpansee
chimpanzee,chimpanze
chimpanzee,chimpanzeed
chimpanzee,chimpanzeee
chimpanzee,chimpanzees
chimpanzee,chimpanzes
chimpanzee,chimpanziwe
chimpanzee,chimpazee
chimpanzee,chimpnazee
chimpanzee,chimps
chimpanzee,chipanzee
chimpanzee,panzee
chimpanzee,chimpamnzee
chinchilla,chinchila
chinchilla,chincilla
chinchilla,chionchilla
chinchilla,cinchilla
chinchilla,chinchilua
chipmunk,ardilla
chipmunk,chikmonk
chipmunk,chimmunk
chipmunk,chimpmunk
chipmunk,chimponk
chipmunk,chimpumk
chipmunk,chimpumks
chipmunk,chimpunk
chipmunk,chipmonk
chipmunk,chipmonks
chipmunk,chipmuck
chipmunk,chipmucks
chipmunk,chipmuk
chipmunk,chipmun
chipmunk,chipmunck
chipmunk,chipmunjk
chipmunk,chipmunks
chipmunk,chipmunl
chipmunk,chupmonk
chipmunk,cipmonk
chipmunk,cipmonks
chipmunk,cipmunm
civet,civets
clam,clams
clam,giantclam
coati,koati
coatimundi,cotimundi
cobra,cobia
cobra,cobr
cobra,cobras
cockatiel,cocateel
cockatiel,cockateel
cockatiel,cockateil
cockatoo,cocatoo
cockroach,cochroach
cockroach,cockroaches
cockroach,roach
cockroach,roachbug
cockroach,roaches
cockroach,rouch
cod,cods
cod,god
cod,nod
cod,tod
cod,scrod
coelacanth,ceolacanth
collie,collies
conch,conk
condor,goldencondor
copperheadsnake,copperhead
coral,corral
coralreefsnake,seasnake
corgi,corgii
corgi,corgis
corgi,welshcorgi
cornishgamehen,cornishhen
cornsnake,cornsnakes
cottontailrabbit,cottontail
cougar,couager
cougar,cougars
cougar,cougat
cougar,couger
cow,cattke
cow,cattle
cow,co
cow,coe
cow,coq
cow,cos
cow,cown
cow,cows
cow,cw
cow,cowe
coyote,cayote
coyote,cotote
coyote,coty
coyote,coyoe
coyote,coyota
coyote,coyotee
coyote,coyotes
coyote,coyoto
coyote,coyotr
coyote,coyotte
coyote,coytoe
coyote,coyty
coyote,cpyote
coyote,cyote
coyote,cyotee
coyote,cyotes
coyote,koyote
coyote,coyette
coypu,riverrat
crab,crabs
crab,cracb
crab,crab\
crawfish,crawdad
crayfish,xrayfish
cricket,crickets
crocodile,
crocodile,corcodile
crocodile,croc
crocodile,crocadile
crocodile,crocadiles
crocodile,croccodile
crocodile,croccodiles
crocodile,crocdile
crocodile,crocidile
crocodile,crocidilla
crocodile,crocidlies
crocodile,crock
crocodile,crockadile
crocodile,crockadiles
crocodile,crocodia
crocodile,crocodial
crocodile,crocodials
crocodile,crocodias
crocodile,crocodiel
crocodile,crocodila
crocodile,crocodiles
crocodile,crocodille
crocodile,crocodiloe
crocodile,crocoldile
crocodile,crododile
crocodile,crocedile
crocodile,vroc
crow,crows
cub,cubs
dachshund,dachsund
daddylonglegs,daddylongleg
dalmatian,dalmation
damselfish,damselfishes
damselfish,damselfishs
deer,beer
deer,dear
deer,dee
deer,deef
deer,deek
deer,deerr
deer,deet
deer,der
deer,derr
deer,eer
deer,fallowdeer
deer,killdeer
degu,tegu
dingo,dingodog
dinosaur,dianosor
dinosaur,dinasoar
dinosaur,dinasuar
dinosaur,dinoars
dinosaur,dinoaur
dinosaur,dinosar
dinosaur,dinosaurs
dinosaur,dinosour
dobermanpinscher,doberman
dobermanpinscher,dobermanpincher
dodo,dodobird
dog,bigdog
dog,dig
dog,do
dog,dob
dog,dof
dog,dogc
dog,dogd
dog,doggo
dog,dogs
dog,doh
dog,doig
dog,dolg
dog,doog
dog,doogs
dog,fog
dog,gog
dog,sog
dog,dag
dog,doc
dog,dod
dog,"dog,"
dog,winniedog
dolphin,dolfand
dolphin,dolfin
dolphin,dolhin
dolphin,dolhpin
dolphin,dollphin
dolphin,dolpgin
dolphin,dolpgine
dolphin,dolphan
dolphin,dolphic
dolphin,dolphine
dolphin,dolphines
dolphin,dolphins
dolphin,dolphn
dolphin,dolphns
dolphin,dolphon
dolphin,dolphone
dolphin,dolphones
dolphin,dolpih
dolphin,dolpin
dolphin,dophin
dolphin,dophine
dolphin,dophins
dolphin,doplhin
dolphin,dorfin
dolphin,dphin
dolphin,solphin
dolphin,dolphi
dolphin,dolphion
donkey,burro
donkey,dokey
donkey,donke
donkey,donkeys
donkey,donkies
donkey,donky
donkey,dunkey
donkey,jackass
donkey,wildass
dormouse,doormous
dormouse,doormouse
double-crestedcormorant,doublecrestedcommorant
dove,doves
dove,morningdove
dragon,dragons
dromedary,dramadary
dromedary,dramaderie
dromedary,dromdry
duck,dick
duck,duch
duck,ducks
duck,duk
duck,dunk
duck,fuck
duck,pato
duck,mallal
dungbeetle,dungebeetle
eagle,eagel
eagle,eagl
eagle,eagles
eagle,eatle
eagle,egale
eagle,egales
eagle,eag;e
eagle,eage
eagle,eagleray
earthworm,earthworms
echidna,echidnas
echidna,echindna
echidna,encidna
echidna,echidn
eel,eels
eel,teel
egret,grit
elephant,africanelephant
elephant,asianelephant
elephant,ee[hant
elephant,eelpwhant
elephant,eephant
elephant,elaphant
elephant,eleaphant
elephant,elefant
elephant,elehant
elephant,elepant
elephant,elephamt
elephant,elephan
elephant,elephang
elephant,elephanit
elephant,elephants
elephant,elephany
elephant,elephat
elephant,elephatn
elephant,elephnat
elephant,elepohant
elephant,elphant
elephant,elphants
elephant,elepahnt
elephant,ellephant
elk,el
elk,elki
elk,elkk
elk,elek
elk,elkmoose
emu,emus
emu,enu
emu,imu
emu,remus
ermine,ermin
falcon,facon
falcon,falcoln
falcon,falcom
falcon,falcons
falcon,flacon
feline,feeline
fennecfox,fennec
ferret,cerret
ferret,farret
ferret,farrets
ferret,farrett
ferret,farrette
ferret,feeret
ferret,feret
ferret,ferrat
ferret,ferrats
ferret,ferret/furret
ferret,ferrets
ferret,ferrett
ferret,ferrit
ferret,ferrite
ferret,ferrits
ferret,ferrrett
ferret,furret
ferret,pharret
ferret,pharrets
ferret,ferrut
ferret,ferrut
finch,fench
finch,finches
finch,finsh
fireant,fireants
firefly,fireflies
fish,f5sh
fish,fidh
fish,fishes
fish,fisk
fish,fissh
fish,fush
fish,ish
fish,mackarel
fish,nemo
fish,neonfish
fisher,fischercat
fisher,fishercat
flamingo,domingo
flamingo,falmingo
flamingo,falmingos
flamingo,flamingoi
flamingo,flamingos
flamingo,flammingo
flamingo,flamnigo
flamingo,flamningo
flamingo,flamigo
flea,fle
flea,fleas
fly,flhy
fly,flies
fly,fy
fly,moscas
flyingfish,flyfish
flyingsquirrel,flyingsquirel
fossa,fosa
foureyebutterflyfish,foureyebutterflyfishes
foureyebutterflyfish,foureyedbutterflyfish
fowl,foul
fowl,wofl
fox,fix
fox,fo
fox,fosx
fox,fosxes
fox,fosxs
fox,foxes
fox,foz
fox,fozx
fox,fozxes
fox,fozxs
fox,fpx
fox,articfox
frenchbulldog,frenchbulldogs
frenchbulldog,frenchie
frog,forg
frog,frof
frog,frogs
frog,from
frog,frong
frog,fror
gardensnake,gardinersnake
gazelle,gaselle
gazelle,gazel
gazelle,gazell
gazelle,gazella
gazelle,gazelles
gazelle,gazzell
gazelle,gazzelle
gazelle,gezzele
gazelle,gisselle
gazelle,gizelle
gecko,gecco
gecko,geco
gecko,gecos
gecko,geeko
gecko,geicko
gecko,geico
gecko,gekko
gecko,gekkos
gecko,geko
gecko,gekos
gecko,giecco
gecko,gieco
gerbil,gerbal
gerbil,gerbel
gerbil,gerber
gerbil,gerbi
gerbil,gerbile
gerbil,gerbill
gerbil,gerbils
gerbil,gerbit
gerbil,gerbits
gerbil,gerble
gerbil,gerbles
gerbil,geribl
gerbil,girbil
gerbil,girble
gerbil,jerbul
germanshepherd,germansheapard
germanshepherd,germansheapards
germanshepherd,germansheard
germanshepherd,germanshepard
germanshepherd,germanshepards
germanshepherd,germansheperd
germanshepherd,germansheperdd
germanshepherd,germansheperds
germanshepherd,germanshephard
germanshepherd,germansheppard
gilamonster,gilamonsters
gilamonster,gillamonster
gilamonster,gillamonsters
gilamonster,gillmonster
gilamonster,guillamonster
gilamonster,villamonster
giraffe,firaffe
giraffe,firagee
giraffe,garaffi
giraffe,garafii
giraffe,garrafe
giraffe,garriff
giraffe,giarffe
giraffe,giraf
giraffe,girafe
giraffe,girafee
giraffe,giraff
giraffe,giraffee
giraffe,giraffees
giraffe,giraffes
giraffe,girafffe
giraffe,giraffie
giraffe,giraft
giraffe,giragge
giraffe,girarfee
giraffe,girffe
giraffe,girrafe
giraffe,girrafee
giraffe,girrafes
giraffe,girraff
giraffe,girraffe
giraffe,giuraffe
giraffe,guiaffes
giraffe,irafe
giraffe,geraffes
giraffe,girafdfe
giraffe,giraffwe
giraffe,graiffe
gnat,knats
gnat,nat
goat,ggoat
goat,ggoats
goat,goa
goat,goats
goat,kidgoat
goat,toat
goat,gaot
goat,jgoat
goby,gobi
goldendoodle,goldendoodl
goldendoodle,goldendoodles
goldendoodle,goldendoodls
goldenretriever,goldenretreiver
goldfish,godlfish
goldfish,goldfishes
goldfish,goldfishs
goose,geese
goose,ghoose
goose,goode
goose,gooose
goose,goos
goose,gooser
goose,goosr
goose,gppse
gopher,gofer
gopher,goper
gopher,gophers
gopher,gpher
gorilla,garrila
gorilla,gorialla
gorilla,goriila
gorilla,gorila
gorilla,gorill
gorilla,gorillas
gorilla,gorillla
gorilla,gorillllla
gorilla,gorrila
gorilla,gorrilla
gorilla,gorrillas
gorilla,grila
gorilla,guerilla
gorilla,guerrila
gorilla,guerrilla
gorilla,guerrillaa
gorilla,guerrillas
grackle,gackle
grasshopper,grashopper
grasshopper,grasshoper
grasshopper,grasshoppers
grasssnake,grasssnakes
graywhale,graywhales
graywhale,greywhale
graywhale,greywhales
graywolf,greywolf
greatpyrenees,greatpyrennes
greatwhiteshark,whiteshakr
greyhound,grayhound
greysquirrel,greysquirrels
grizzly bear,grizleybear
grizzlybear,grizley
grizzlybear,grizleybear
grizzlybear,grizzlebear
grizzlybear,grizzleybear
grizzlybear,grizzly
grizzlybear,grizzlybears
grizzlybear,grizzlybeat
groundhog,groundhig
groundhog,groundhod
groundhog,groundhogs
groundhog,groundhot
groundhog,grounghod
groundhog,grounghog
groundhog,grounhog
groundsquirrel,thirteenstripegroundsquirrel
groundsquirrel,grow]undsqyirrel
grouper,gohper
guineafowl,guineahens
guineafowl,ginny
guineapig,geniepig
guineapig,geniepigs
guineapig,gineapig
guineapig,gineaupig
guineapig,gineaupigs
guineapig,ginueapig
guineapig,ginueapigs
guineapig,ginuepig
guineapig,guianapig
guineapig,guianapigs
guineapig,guidepig
guineapig,guienepig
guineapig,guinapig
guineapig,guinapigs
guineapig,guinea
guineapig,guineahen
guineapig,guineapea
guineapig,guineapid
guineapig,guineapif
guineapig,guineapigs
guineapig,guinepig
guineapig,guiniepig
guineapig,guinipig
guineapig,guinneapig
guineapig,guinneapigs
guineapig,guinniepig
guineapig,gukneapig
guineapig,guneapig
guineapig,gunieapig
guineapig,gunieapigs
guineapig,guniepig
guineapig,gunniepig
guineapig,guineapic
guineapig,guinespig
guineapig,guiniapig
guppy,guppie
halibut,halibuts
hammerheadshark,hammerhead
hammerheadshark,hammerheadwhale
hamster,hamatet
hamster,hambster
hamster,hampster
hamster,hamser
hamster,hamsterr
hamster,hamsters
hamster,hamstr
hamster,hamsyer
hamster,hamste
hawk,haek
hawk,hawks
hawk,hawl
hawk,haw
hedgehog,headchog
hedgehog,headgehog
hedgehog,hedgehod
hedgehog,hedgehoge
hedgehog,hedgehogs
hedgehog,hedghog
hedgehog,hegehog
hedgehog,hegdehog
hen,henc
hen,hens
hen,moorhen
hen,moorhen
hermitcrab,hermetbrab
hermitcrab,hermitcrabs
heron,heroin
heron,herron
hippopotamus,hipo
hippopotamus,hipopotamus
hippopotamus,hipopotimus
hippopotamus,hipp
hippopotamus,hipp[
hippopotamus,hippipolimus
hippopotamus,hippipolomus
hippopotamus,hippipolum
hippopotamus,hippo
hippopotamus,hippol
hippopotamus,hippopantamuses
hippopotamus,hippopatamis
hippopotamus,hippopatamus
hippopotamus,hippopatomaus
hippopotamus,hippopatomus
hippopotamus,hippopatumus
hippopotamus,hippopatus
hippopotamus,hippopotamos
hippopotamus,hippopotamous
hippopotamus,hippopotatmus
hippopotamus,hippopotaums
hippopotamus,hippopotomos
hippopotamus,hippopotomous
hippopotamus,hippopotomus
hippopotamus,hippopottamus
hippopotamus,hippopotumus
hippopotamus,hippoptamus
hippopotamus,hippos
hippopotamus,hippotamus
hippopotamus,hippotumus
hippopotamus,hypopothemus
hippopotamus,hippo'
hippopotamus,hippomatemous
hippopotamus,hippopotamu
hippopotamus,hippotatamus
hog,hogg
hog,razorback
honeybadger,honeybadgers
hornedtoad,hornytoad
horse,filly
horse,forse
horse,gorse
horse,hirse
horse,hoarse
horse,hoirse
horse,hores
horse,hors
horse,horsee
horse,horses
horse,hose
horse,hosr
horse,hourse
horse,house
horse,hore
horse,hore
horse,horsde
horse,zorse
horse-fly,horse-fly
horse-fly,horsefly
horseshoecrab,horshoecrab
hound,hounddog
howlermonkey,hillarymonkey
howlermonkey,howler
howlermonkey,howlermonkeys
howlermonkey,howlingmonkey
howlermonkey,howlingmonkeys
human,girl
human,homosapien
human,homosapiens
human,humanbeing
human,humans
human,man
human,people
human,person
human,woman
hummingbird,himmingbird
hummingbird,hummingbid
hummingbird,hummingbirds
hummingbird,hummingird
hummingbird,hummungbird
hummingbird,humingbird
hummingbird,hummiiningbird
humunukuapua,humunukuapuaa
husky,huiskie
husky,huiskies
husky,huskie
husky,huskies
husky,huskys
hydrax,hyrax
hyena,hayena
hyena,henna
hyena,hiena
hyena,hiene
hyena,hieyna
hyena,hiyeena
hyena,hiyena
hyena,hyaena
hyena,hyeana
hyena,hyeena
hyena,hyeenas
hyena,hyen
hyena,hyenaa
hyena,hyenae
hyena,hyenas
hyena,hyene
hyena,hyenea
hyena,hyeneas
hyena,hyenia
hyena,hyenna
hyena,hynea
hyena,heinna
ibex,abex
ibex,ibix
ibex,libex
iguana,igauna
iguana,iguanas
iguana,iquana
insect,insects
jack,jaxk
jackal,jacka
jackal,jackall
jackal,jackalope
jackal,jackals
jackal,jackel
jackal,jackle
jackal,jackyl
jackal,jckel
jackal,mackrle
jackass,jackasses
jaguar,haguar
jaguar,jafuar
jaguar,jag
jaguar,jagauar
jaguar,jagauars
jaguar,jagguar
jaguar,jaguars
jaguar,jagur
jaguar,jaquar
jaguar,jagaur
jay,gay
jay,jaybird
jellyfish,hellyfish
