condition,prolific_id,jatos_id,gender,genderText,ageText,didYouTry,understand,comments
Delayed,60b0334a2e48ac0856f33161,660,M,"",22,Y,Y, 
Delayed,63014447bcd5b69388099876,659,F,"",18,Y,Y, 
Delayed,63312d50b69dc2a2122ed1c2,658,F,"",21,Y,Y, 
Delayed,61019c7bfef4b6c8de7d5f55,657,F,"",19,Y,Y, 
Delayed,611c0958e3975a30a658a3fe,656,F,"",19,Y,Y, 
Delayed,6317afadedfd0a63eb5d0522,655,F,"",62,Y,Y, N/A
Delayed,5bb7716f0b651100015c927f,654,M,"",23,Y,Y, 
Delayed,6413ba814d48703a89b5ee31,653,M,"",19,Y,Y, 
Delayed,60ff78f6695b4e27b7eb17bb,652,F,"",25,Y,, 
Delayed,63d7ef26d68b635f0f481a6f,651,M,"",24,Y,Y, 
Delayed,62b9e995fd8c321a2f65a6cd,650,F,"",23,Y,Y, 
Delayed,61099a5c04f32c99f34ce2a8,649,F,"",66,Y,Y, 
Delayed,5a94d24fb5e2110001c689b5,648,F,"",62,Y,Y, 
Delayed,62fc22181e486f654fd3b139,647,F,"",68,Y,Y, 
Delayed,57ac740478a38d00017cce22,646,F,"",63,Y,Y, 
Delayed,5e753ccd65c9670a250a019b,643,F,"",19,Y,Y, 
Delayed,6143e022ec8dfbce17b7e211,641,M,"",68,Y,Y, 
Delayed,60c2694a69ce3ace422ef93a,640,F,"",21,Y,Y, 
Delayed,6236fe0ee063333a3e1ba72a,639,F,"",24,Y,Y, 
Delayed,5be781ca3b047e0001a39e47,637,F,"",63,Y,Y, 
Delayed,63d3fbb2e822fa8e7bfe8511,636,F,"",23,Y,Y, 
Delayed,5fc27b5a13285c0008cc71ab,635,F,"",63,Y,Y, 
Delayed,63cb23389133d3f76db2336a,633,M,"",18,Y,Y, 
Delayed,60e9fd8a2f52070be49cf317,631,M,"",23,Y,Y, 
Delayed,5dd1919051c6d2208e27fbc1,630,F,"",74,Y,Y, 
Delayed,5f850cd39e097f1f273a755d,629,M,"",25,Y,Y, 
Delayed,5c38f43bb594c40001212d39,628,M,"",74,Y,Y, 
Delayed,60fdd6619d528625b8d667e8,627,F,"",24,Y,Y, 
Delayed,63d53c6bc368b9fa8d33f4cf,626,O,Non-Binary,20,Y,Y, 
Delayed,6320b3ef5b3c6405eea0f4ca,625,M,"",22,Y,Y, 
Delayed,5f1215c24862ae13032bad4e,624,F,"",24,Y,Y, 
Delayed,5c83394a3e93bf0001e143d6,623,F,"",25,Y,Y, 
Delayed,5f63a1e5192b540bf182227d,622,F,"",21,Y,Y, 
Delayed,62e073721cd1f5f6cff50910,621,F,"",25,Y,Y, 
Delayed,63480954af4c7db036aa6595,620,F,"",72,Y,Y, 
Delayed,5928b05e590f0b000126edb8,619,M,"",25,Y,Y, 
Delayed,63614d2f3531a1f02d12fe94,618,M,"",23,Y,Y, 
Delayed,62162ab583fc823e78c025e2,617,F,"",59,Y,Y, 
Delayed,62162ab583fc823e78c025e2,617,F,"",59,Y,Y, 
Delayed,6328c18273754393c988735f,616,M,"",23,Y,Y, 
Delayed,63bca22d6fa8440663c937f1,615,M,"",21,Y,Y, nope
Delayed,5d63275f9b22da000117b107,614,M,"",70,Y,Y, 
Delayed,60fe4500b9d48a537a42f35a,613,M,"",22,Y,Y, 
Delayed,5add6b6aeb60400001536f2c,612,F,"",69,Y,Y, same category as last?  Thanks.
Delayed,63d04c8f58e32ead9ae4c89b,611,M,"",72,Y,Y,"Not confused.
Start worrying about countdown clock."
Delayed,5ef035131f1b2a546b44c391,610,M,"",71,Y,Y, none
Delayed,63e8326b8d067b28655586fb,609,M,"",20,Y,Y, 
Delayed,6306679aefe2197ff06b2621,607,F,"",22,Y,Y, 
Delayed,611c4b67ef5ef50313395ffb,606,F,"",64,Y,Y, 
Delayed,5d0e7ce13fe2d0001999c056,605,M,"",66,Y,Y, 
Delayed,5ea47bda5b1a9807ed89eb76,604,M,"",75,Y,," Not confused, but for some reason I had a harder time thinking of animals than yesterday.  It seems it should be the opposite."
Delayed,6228f35da2410161a1221ac0,603,M,"",65,Y,Y, 
Delayed,5b33a01fa8327d0001003821,602,F,"",69,Y,Y, none
Delayed,63cc88cff0f86e1bdec22290,601,F,"",61,Y,Y,none 
Delayed,62fe7fcc250311d93a7d6268,600,M,"",61,Y,Y, 
Delayed,5994ce3dc825cf0001d7dd2d,599,F,"",73,Y,Y, I was trying to go alphabetically but I kept having blanks and I couldn't think of an animal!!!!
Delayed,61509f6eb3a929e50f33ede1,598,M,"",63,Y,Y, 
Delayed,56802e5fc5767f00121cc6a0,597,M,"",65,Y,Y, I thought I name more yesterday?
Delayed,62858e3a433a7a27305f1992,596,F,"",70,Y,Y, no
Delayed,60fce319094706567dd18681,594,F,"",22,Y,Y, 
Delayed,6025b3681ff1521a3369dffe,593,F,"",22,Y,Y, 
Delayed,60fab1b96bd45f60d1b053dc,592,F,"",60,Y,Y, 
Delayed,644ee5a8f25289f7efacbef4,591,F,"",62,Y,Y, 
Delayed,64499eed5518153215c74048,590,M,"",60,Y,Y, I was not confused. it seems like I remembered more items this time that the previous time.
Delayed,5c2e2fa00b8ad80001aebf07,589,M,"",22,Y,Y, 
Delayed,59d75f1b8fd07a0001841feb,588,M,"",69,Y,Y, Thank you. 
Delayed,5c6ae4c31b9d0e000190bacc,587,F,"",60,Y,Y, 
Delayed,5eb087ed7f6d1e1232690d6a,586,F,"",62,Y,Y, 
Delayed,638d3780e7aa2979f75f2a5f,585,F,"",65,Y,Y, NA
Delayed,5cab69f77ea4a700019a87dc,584,F,"",61,Y,Y, 
Delayed,5e573ba5ad27610fa25300aa,583,M,"",23,Y,Y, 
Delayed,63d829b1cfe7269141a85156,582,M,"",21,Y,Y, 
Delayed,5825dc1f7fcbaa000134776e,581,M,"",64,Y,Y, 
Delayed,60b4277a6c6540693acdd766,580,F,"",66,Y,Y, 
Delayed,5bd9dc9abf1a7800011db1f1,579,F,"",67,Y,Y, 
Delayed,59c65eb83306be000195bb01,578,M,"",76,Y,Y, 
Delayed,5ea3442e0db9862b6f42935d,577,F,"",66,Y,Y, 
Delayed,5ea3442e0db9862b6f42935d,577,F,"",66,Y,Y, 
Delayed,5c1021a547d07800011a23de,576,F,"",65,Y,Y, 
Delayed,640cf44e8bf4e101d82a76a1,575,F,"",62,Y,Y, 
Delayed,6029acb673830e93bcc9230f,574,M,"",72,Y,Y, 
Delayed,63d8032fd2b4f1648f8ca4db,573,M,"",20,Y,Y, 
Delayed,5dda993086c886a06ce9108d,572,F,"",76,Y,Y, 
Delayed,5a9b1eb7873cda0001dcb3c4,571,F,"",73,Y,Y," it was not confusing, it was very easy to understand"
Delayed,62827483ae4c6af3f0af9bce,570,M,"",25,Y,Y, 
Delayed,5a0efb83ab721b0001ef8509,569,M,"",68,,, all good 
Delayed,64480435f0fd571589cf1e31,568,F,"",65,Y,Y, 
Delayed,5e573ba5ad27610fa25300aa,567,M,"",23,Y,Y, 
Delayed,611c0958e3975a30a658a3fe,566,F,"",19,Y,Y, 
Delayed,5b0b3ef830d562000155366f,565,F,"",23,Y,Y, 
Delayed,63d8032fd2b4f1648f8ca4db,564,M,"",20,Y,Y, 
Delayed,5fae4da3bf842d08cfd0dcc6,563,F,"",20,Y,Y, 
Delayed,6306679aefe2197ff06b2621,562,F,"",22,Y,Y, 
Delayed,611208e8d4ab54df137ab05a,561,M,"",20,Y,Y, 
Delayed,60e9fd8a2f52070be49cf317,560,M,"",23,Y,Y, 
Delayed,6328c18273754393c988735f,558,M,"",23,Y,Y, 
Delayed,60b0334a2e48ac0856f33161,557,M,"",22,Y,Y, N/A
Delayed,6236fe0ee063333a3e1ba72a,556,F,"",24,Y,Y, 
Delayed,61019c7bfef4b6c8de7d5f55,555,F,"",19,Y,Y, 
Delayed,611fcf08e319f17f3ed80954,554,F,"",24,Y,Y, 
Delayed,63d428eb946e85527cfdf058,553,M,"",21,Y,Y, I was not confused while taking this study.
Delayed,60fce319094706567dd18681,552,F,"",22,Y,Y, 
Delayed,5f850cd39e097f1f273a755d,551,M,"",25,Y,Y, 
Delayed,5f63a1e5192b540bf182227d,550,F,"",21,Y,Y, 
Delayed,5f1215c24862ae13032bad4e,549,F,"",24,Y,Y, 
Delayed,60fe4500b9d48a537a42f35a,548,M,"",22,Y,Y, 
Delayed,63614d2f3531a1f02d12fe94,547,M,"",23,Y,Y, 
Delayed,63d3fbb2e822fa8e7bfe8511,546,F,"",23,Y,Y, 
Delayed,63d53c6bc368b9fa8d33f4cf,545,O,Non-Binary,20,Y,Y, 
Delayed,63e8326b8d067b28655586fb,544,M,"",20,Y,Y, 
Delayed,63d7ef26d68b635f0f481a6f,543,M,"",24,Y,Y, 
Delayed,5e59a9d107660f1b7626dec7,542,M,"",36,Y,Y, 
Delayed,60c2694a69ce3ace422ef93a,541,F,"",21,Y,Y, 
Delayed,62827483ae4c6af3f0af9bce,540,M,"",25,Y,Y, 
Delayed,6413ba814d48703a89b5ee31,539,M,"",19,Y,Y, 
Delayed,60ff78f6695b4e27b7eb17bb,538,F,"",25,Y,Y, 
Delayed,5e693502cec9061e5c76525a,537,F,"",22,Y,Y, 
Delayed,63d829b1cfe7269141a85156,536,M,"",21,Y,Y, 
Delayed,63014447bcd5b69388099876,535,F,"",18,Y,Y, 
Delayed,623ac50ed58ac10f7e259b8f,534,M,"",21,Y,Y, 
Delayed,62e073721cd1f5f6cff50910,532,F,"",25,Y,Y, 
Delayed,5bb7716f0b651100015c927f,531,M,"",23,Y,Y, 
Delayed,5928b05e590f0b000126edb8,530,M,"",25,Y,Y, 
Delayed,610184b85f6357139bc4c9eb,529,F,"",25,Y,Y, 
Delayed,60fdd6619d528625b8d667e8,528,F,"",24,Y,Y, 
Delayed,63cb23389133d3f76db2336a,527,M,"",18,Y,Y, 
Delayed,5c2e2fa00b8ad80001aebf07,526,M,"",22,Y,Y, 
Delayed,5fc5b0ec967b5f13a297562a5fc5b0ec967b5f13a297562a,525,F,"",25,Y,Y, 
Delayed,5e753ccd65c9670a250a019b,524,F,"",19,Y,Y, 
Delayed,6025b3681ff1521a3369dffe,523,F,"",22,Y,Y, 
Delayed,6320b3ef5b3c6405eea0f4ca,522,M,"",22,Y,Y, 
Delayed,631e4eaec6b4eb65bfc51709,521,M,"",24,Y,Y, 
Delayed,63312d50b69dc2a2122ed1c2,520,F,"",21,Y,Y, 
Delayed,5c83394a3e93bf0001e143d6,519,F,"",25,Y,Y, 
Delayed,63bca22d6fa8440663c937f1,518,M,"",21,Y,Y, 
Delayed,5c1021a547d07800011a23de,517,F,"",65,Y,Y, 
Delayed,5994ce3dc825cf0001d7dd2d,514,F,"",73,Y,Y, 
Delayed,5dd1919051c6d2208e27fbc1,511,F,"",74,Y,Y, 
Delayed,5ea3442e0db9862b6f42935d,510,F,"",66,Y,Y, 
Delayed,62b9e995fd8c321a2f65a6cd,509,F,"",23,Y,Y, 
Delayed,62162ab583fc823e78c025e2,508,F,"",59,Y,Y, 
Delayed,59d75f1b8fd07a0001841feb,507,M,"",69,Y,Y, no issues; thank you. 
Delayed,5825dc1f7fcbaa000134776e,506,M,"",64,Y,Y, 
Delayed,5be781ca3b047e0001a39e47,505,F,"",63,Y,Y, 
Delayed,5b33a01fa8327d0001003821,504,F,"",69,Y,Y," I wasn't aware at first to hit the enter button after each entry, so i lost time having to start over."
Delayed,60fab1b96bd45f60d1b053dc,503,F,"",60,Y,Y, 
Delayed,5ee509a09776d122a88d2ca4,502,F,"",25,Y,Y, 
Delayed,5ef035131f1b2a546b44c391,501,M,"",71,Y,Y, 
Delayed,5d63275f9b22da000117b107,500,M,"",70,Y,Y, 
Delayed,61099a5c04f32c99f34ce2a8,499,F,"",66,Y,Y, 
Delayed,62fc22181e486f654fd3b139,497,F,"",68,Y,Y, 
Delayed,63480954af4c7db036aa6595,495,F,"",72,Y,Y, 
Delayed,5c38f43bb594c40001212d39,494,M,"",74,Y,Y, 
Delayed,63d04c8f58e32ead9ae4c89b,493,M,"",72,Y,Y, 
Delayed,63d4a887e1ab7f8c5a4cc336,492,F,"",74,Y,Y, I wasn't I ama slow typist.
Delayed,644ee5a8f25289f7efacbef4,491,F,"",62,Y,Y, 
Delayed,6463695c18c68eee514fd3a3,490,M,"",78,Y,Y, 
Delayed,6029acb673830e93bcc9230f,489,M,"",72,Y,, 
Delayed,6228f35da2410161a1221ac0,488,M,"",65,Y,Y," All clear and easy to understand, thank you."
Delayed,640cf44e8bf4e101d82a76a1,487,F,"",52,Y,Y, 
Delayed,5a94d24fb5e2110001c689b5,486,F,"",62,Y,Y, 
Delayed,59c65eb83306be000195bb01,485,M,"",76,Y,Y, 
Delayed,5a9b1eb7873cda0001dcb3c4,484,F,"",73,Y,Y, It was very easy to understand.
Delayed,5bd9dc9abf1a7800011db1f1,483,F,"",67,Y,Y, 
Delayed,64499eed5518153215c74048,482,M,"",60,Y,, I was not confused. I seems like I went blank on the names after about 6 - 8 names.
Delayed,611c4b67ef5ef50313395ffb,481,F,"",64,Y,Y, 
Delayed,60b4277a6c6540693acdd766,480,F,"",66,Y,Y, 
Delayed,60bac4eb11e08e852fd030ab,479,F,"",67,Y,Y, 
Delayed,5d0e7ce13fe2d0001999c056,478,M,"",66,Y,Y, 
Delayed,61509f6eb3a929e50f33ede1,477,M,"",63,Y,Y, 
Delayed,5ea47bda5b1a9807ed89eb76,476,M,"",75,Y,Y, Not confused.
Delayed,6317afadedfd0a63eb5d0522,475,F,"",62,Y,Y, I know all of the animals but when asked to call them out I was drawing blanks 
Delayed,5cab69f77ea4a700019a87dc,474,F,"",61,Y,Y, 
Delayed,5a0efb83ab721b0001ef8509,473,M,"",68,Y,Y, no comments
Delayed,63cc88cff0f86e1bdec22290,472,F,"",61,Y,Y, nothing
Delayed,57d435c8ca054400014bac35,471,F,"",77,Y,Y, 
Delayed,5add6b6aeb60400001536f2c,470,F,"",69,Y,Y, Seemed straightforward enough.
Delayed,5dda993086c886a06ce9108d,468,F,"",76,Y,, none
Delayed,5fc27b5a13285c0008cc71ab,467,F,"",63,Y,Y, 
Delayed,6143e022ec8dfbce17b7e211,465,M,"",68,Y,Y, 
Delayed,5eb087ed7f6d1e1232690d6a,463,F,"",62,Y,Y, 
Delayed,56802e5fc5767f00121cc6a0,462,M,"",65,Y,Y, 
Delayed,5c6ae4c31b9d0e000190bacc,461,F,"",60,Y,Y, 
Delayed,62858e3a433a7a27305f1992,460,F,"",70,Y,Y, 
Delayed,62fe7fcc250311d93a7d6268,459,M,"",61,Y,Y, 
Delayed,57ac740478a38d00017cce22,457,F,"",63,Y,Y, 
Delayed,5c6ae4c31b9d0e000190bacc,456,F,"",60,Y,Y, 
Delayed,5ee93810c5c13215484b8336,455,F,"",63,Y,Y, 
Delayed,638d3780e7aa2979f75f2a5f,454,F,"",65,Y,Y, none
Delayed,64480435f0fd571589cf1e31,453,F,"",65,Y,Y, 
Delayed,60bac4eb11e08e852fd030ab,451,F,"",67,Y,Y," Wasn't sure if the category included birds and insects, or only mammals. Decided on the latter."
